PSANationalCode,PSANAME,GACCUnitID,afgNPP_norm,pfgNPP_norm,HER_norm
AK00,North Slope,USAKACC,,,
AK01E,Tanana Valley-East,USAKACC,,,
AK01W,Tanana Valley-West,USAKACC,,,
AK02,Upper Yukon Valley,USAKACC,,,
AK03N,Tanana Zone-North,USAKACC,,,
AK03S,Tanana Zone-South,USAKACC,,,
AK04,Koyukuk And Upper Kobuk,USAKACC,,,
AK05,Middle Yukon,USAKACC,,,
AK06,Seward Peninsula,USAKACC,,,
AK07,Lower Yukon,USAKACC,,,
AK08,Yukon-Kuskokwim Delta,USAKACC,,,
AK09,Kuskokwim Valley,USAKACC,,,
AK10,Bristol Bay And AK Peninsula,USAKACC,,,
AK11,Susitna Valley,USAKACC,,,
AK12,Copper River Basin,USAKACC,,,
AK13,Matanuska Valley And Anchorage,USAKACC,,,
AK14,Kenai Peninsula,USAKACC,,,
AK15,Northern Panhandle,USAKACC,,,
AK16,Central Panhandle,USAKACC,,,
AK17,Southern Panhandle,USAKACC,,,
AK18,Kodiak Island,USAKACC,,,
NONE,No PSA Assigned,USAKACC,,,
NC01,North Coast,USCAONCC,9.013910185289202,35.89059367325838,44.904503858547606
NC02,Mid Coast To Mendocino,USCAONCC,30.41819873390548,35.70249709686543,66.12069583077096
NC03A,Bay Marine,USCAONCC,38.182270949668826,23.498030971070484,61.68030192073932
NC03B,Diablo-Santa Cruz Mtns,USCAONCC,59.62276856960664,24.3433757389257,83.96614430853236
NC04,Northwestern Mtn,USCAONCC,6.836795701083504,20.693034584451016,27.529830285534537
NC05,Sac Valley/Foothills,USCAONCC,47.67147883637673,39.05531645477068,86.72679529114745
NC06,NE California,USCAONCC,9.839632025431738,32.99727884419733,42.83691086962905
NC07,Northern Sierras,USCAONCC,7.949897215327688,19.35212843592634,27.30202565125404
NC08,Far Eastside,USCAONCC,7.660753449405699,22.52712114320915,30.187874592614847
SC01,Eastern Sierra,USCAOSCC,1.715912849010452,11.372287527865382,13.088200376875829
SC02,Central Sierra,USCAOSCC,5.485559793367516,16.17575491507806,21.66131470844557
SC03,Southern Sierra,USCAOSCC,21.120914116237547,12.996503326564335,34.11741744280189
SC04,Sierra Foothills,USCAOSCC,78.11995846765754,24.24826800173489,102.3682264693926
SC05,Central Valley,USCAOSCC,26.02297717385673,16.14111748858683,42.1640946624436
SC06,Central Coast Interior,USCAOSCC,77.96442570755605,9.495933109445154,87.46035881700125
SC07,Central Coast,USCAOSCC,66.77361736673062,17.90890143501221,84.6825188017428
SC08,South Coast,USCAOSCC,30.27957504088096,12.41514314021086,42.69471818109187
SC09,Western Mountains,USCAOSCC,33.66520495302766,12.857721684856877,46.52292663788449
SC10,Eastern Mountains,USCAOSCC,14.401000260508534,12.805196916008727,27.20619717651724
SC11,Southern Mountains,USCAOSCC,17.813814412512418,11.658518167191886,29.47233257970432
SC12,Lower Deserts,USCAOSCC,5.0723163300870775,10.3430139094374,15.41533023952449
SC13,Eastern Deserts,USCAOSCC,3.290945936217553,1.3194399255467697,4.61038586176432
SC14,Central Mojave,USCAOSCC,7.394468502298331,0.6150393781708338,8.009507880469169
SC15,Upper Deserts,USCAOSCC,24.25234681099183,1.4621059593394867,25.71445277033133
SC16,Northern Deserts,USCAOSCC,4.934375174333559,2.648319238491172,7.582694412824727
RM01,Shoshone,USCORMC,0.6197196409109389,27.171158677726343,27.79087831863729
RM02,Big Horn Basin,USCORMC,4.951427853406352,39.226749433212376,44.178177286618805
RM03,Big Horn Mountains,USCORMC,1.6062434579707376,37.061221313256965,38.66746477122769
RM04,Powder River Basin,USCORMC,11.563008424839476,70.9550557187446,82.518064143584
RM05,Black Hills North,USCORMC,4.66736009647935,85.60493445922506,90.2722945557044
RM06,Black Hills South,USCORMC,6.8903515731123575,80.1910909674997,87.08144254061212
RM07,Southwest Wyoming,USCORMC,0.783934839755094,27.61845551192286,28.40239035167808
